X,Y
33,43
24,82
9,77
18,56
9,27
8,52
31,95
24,22
19,55
10,54
46,26
43,101
13,77
30,44
7,39
59,25
18,76
30,68
62,76
17,69
24,52
26,96
20,36
41,103
34,28
17,85
24,24
60,58
11,21
33,93
5,37
48,78
34,16
34,78
43,31
44,54
52,64
61,45
16,86
48,80
46,86
13,21
20,28
22,98
38,94
58,38
34,26
47,91
5,53
61,73
38,74
26,64
13,33
51,87
52,18
27,17
22,60
41,63
27,35
38,82
7,45
26,20
46,70
15,59
35,75
20,48
13,75
38,86
7,77
38,54
71,27
55,69
6,22
47,85
55,95
40,16
19,75
23,95
48,46
50,46
46,64
54,44
45,87
21,49
50,86
11,25
52,68
24,44
25,45
61,59
11,19
59,47
20,100
16,88
18,24
36,72
55,37
67,63
12,86
29,29
34,90
69,23
22,32
60,46
22,44
67,55
72,14
52,84
49,69
33,17
40,80
18,34
17,61
49,101
47,41
52,32
21,79
23,35
19,21
60,88
32,50
34,76
39,97
47,99
44,32
64,80
24,78
50,34
9,51
41,101
43,41
46,104
55,87
44,38
29,47
70,34
24,90
48,34
27,33
43,57
21,59
41,35
54,24
36,34
62,18
62,78
69,21
53,45
25,19
51,41
22,72
19,57
33,57
22,20
8,78
50,24
41,29
51,105
56,86
8,44
48,52
10,60
17,55
17,21
16,82
23,37
68,64
28,70
30,76
48,48
53,23
46,32
27,81
35,55
12,74
22,58
56,90
60,74
18,60
50,28
56,60
51,59
22,42
24,64
31,77
58,42
60,30
45,27
7,51
